Date,Open,High,Low,Close,Adj Close,Volume
2018-06-15,1.325522,1.329787,1.321336,1.325662,1.325662,0
2018-06-18,1.327492,1.327669,1.322821,1.327510,1.327510,0
2018-06-19,1.325557,1.327492,1.315184,1.325873,1.325873,0
2018-06-20,1.317402,1.321598,1.314994,1.317332,1.317332,0
2018-06-21,1.317297,1.327017,1.310324,1.317523,1.317523,0
